day,New_Cases,Cum_Cases
1,1,6
2,0,6
3,0,6
4,0,6
5,0,6
6,0,6
7,0,6
8,0,6
9,5,11
10,0,11
11,0,11
12,0,11
13,0,11
14,0,11
15,0,11
16,0,11
17,0,11
18,1,12
19,0,12
20,0,12
21,0,12
22,0,12
23,0,12
24,0,12
25,0,12
26,0,12
27,2,14
28,3,17
29,21,38
30,19,57
31,43,100
32,30,130
33,48,178
34,34,212
35,73,285
36,138,423
37,190,613
38,103,716
39,410,1126
40,286,1412
41,372,1784
42,497,2281
43,595,2876
44,785,3661
45,838,4499
46,924,5423
47,1210,6633
48,1097,7730
49,1404,9134
50,1861,10995
51,1617,12612
52,1847,14459
53,1559,16018
54,3838,19856
55,2446,22302
56,2931,25233
57,3922,29155
58,3809,32964
59,4611,37575
60,2599,40174
61,4376,44550
62,7578,52128
63,4861,56989
64,2116,59105
65,5233,64338
66,4267,68605
67,1873,70478
68,3912,74390
69,3777,78167
70,3881,82048
71,4286,86334
72,4342,90676
73,3114,93790
74,1613,95403
75,2673,98076
76,5497,103573
77,2633,106206
78,2641,108847
79,405,109252
80,2569,111821
81,785,112606
82,2051,114657
83,2667,117324
84,1827,119151
85,1653,120804
86,1773,122577
87,1537,124114
88,461,124575
89,1195,125770
90,1065,126835
91,1607,128442
92,1139,129581
93,604,130185
94,794,130979
95,308,131287
96,576,131863
97,1104,132967
98,4183,137150
99,629,137779
100,642,138421
101,433,138854
102,209,139063
103,456,139519
104,708,140227
105,507,140734
106,622,141356
107,563,141919
108,372,142291
109,120,142411
110,492,142903
111,524,143427
112,418,143845
113,318,144163
114,403,144566
115,240,144806
116,115,144921
117,358,145279
118,276,145555
119,191,145746
120,3325,149071
121,597,149668
122,1828,151496
123,257,151753
124,338,152091
125,-766,151325
126,352,151677
127,767,152444
128,611,153055
129,579,153634
130,343,153977
131,211,154188
132,403,154591
133,545,155136
134,425,155561
135,726,156287
136,526,156813
137,407,157220
138,152,157372
139,344,157716
140,458,158174
141,467,158641
142,811,159452
143,641,160093
144,284,160377
145,373,160750
146,517,161267
147,81,161348
148,0,161348
149,1588,162936
150,0,162936
151,0,162936
152,1324,164260
153,541,164801
154,918,165719
155,659,166378
156,582,166960
157,0,166960
158,0,166960
159,1375,168335
160,475,168810
161,663,169473
162,621,170094
163,658,170752
164,0,170752
165,0,170752
166,1625,172377
167,0,172377
168,927,173304
169,534,173838
170,836,174674
171,0,174674
172,0,174674
173,2080,176754
174,584,177338
175,998,178336
176,1062,179398
177,1130,180528
178,0,180528
179,0,180528
180,2551,183079
181,725,183804
182,1392,185196
183,1377,186573
184,1346,187919
185,0,187919
186,0,187919
187,3376,191295
188,1039,192334
189,1695,194029
190,1604,195633
191,2288,197921
192,0,197921
193,0,197921
194,4854,202775
195,1397,204172
196,2524,206696
197,2669,209365
198,2846,212211
199,3310,215521
200,3015,218536
201,493,219029
202,2238,221267
203,3776,225043
204,4771,229814
205,4586,234400
206,3602,238002
207,4897,242899
208,1955,244854
209,3304,248158
210,5429,253587
211,6111,259698
212,7379,267077
213,5453,272530
214,5413,277943
215,3082,281025
216,4982,286007
217,7017,293024
218,7157,300181
219,8975,309156
220,8550,317706
221,7071,324777
222,4203,328980
223,6544,335524
224,8577,344101
225,9843,353944
226,9406,363350
227,10561,373911
228,7183,381094
229,6158,387252
230,7852,395104
231,9784,404888
232,10593,415481
233,13215,428696
234,13498,442194
235,11569,453763
236,4298,458061
237,10008,468069
238,13072,481141
239,16096,497237
240,15797,513034
241,14412,527446
242,11123,538569
243,4070,542639
244,8051,550690
245,12845,563535
246,13970,577505
247,12148,589653
248,16972,606625
249,12545,619170
250,5104,624274
251,10489,634763
252,18746,653509
253,18129,671638
254,20339,691977
255,26896,718873
256,16101,734974
257,8505,743479
258,12993,756472
259,22591,779063
260,30621,809684
261,25086,834770